tournament_id,player_id
1,19
2,331
3,312
4,836
5,1220
6,1488
7,1803
7,1436
7,1594
7,1678
7,1739
7,1443
8,2117
9,2468
10,2658
11,2486
12,2912
13,3616
14,4093
15,4614
15,4395
16,4328
17,4386
18,5434
19,6485
20,7008
21,7510
22,7525
